Date,Close/Last,Volume,Open,High,Low
05/23/2024,$181.05,33670170,$183.66,$184.76,$180.08
05/22/2024,$183.13,28148780,$183.88,$185.22,$181.9715
05/21/2024,$183.15,50839130,$182.30,$183.26,$180.75
05/20/2024,$183.54,30511770,$184.34,$186.665,$183.28
05/17/2024,$184.70,33175660,$183.76,$185.30,$183.35
05/16/2024,$183.63,38834450,$185.60,$187.31,$183.46
05/15/2024,$185.99,75459930,$185.97,$186.7193,$182.73
05/14/2024,$187.07,38698160,$183.82,$187.72,$183.45
05/13/2024,$186.57,24898610,$188.00,$188.31,$185.36
05/10/2024,$187.48,34141770,$189.16,$189.892,$186.93
05/09/2024,$189.50,43368380,$188.88,$191.70,$187.44
05/08/2024,$188.00,26136350,$187.44,$188.43,$186.385
05/07/2024,$188.76,34048900,$188.92,$189.94,$187.305
05/06/2024,$188.70,34725300,$186.28,$188.745,$184.80
05/03/2024,$186.21,39172000,$186.99,$187.87,$185.42
05/02/2024,$184.72,54303510,$180.85,$185.10,$179.91
05/01/2024,$179.00,94645150,$181.635,$185.15,$176.56
04/30/2024,$175.00,94639790,$181.09,$182.99,$174.80
04/29/2024,$180.96,54063940,$182.75,$183.53,$179.39
04/26/2024,$179.62,43919770,$177.795,$180.82,$176.13
04/25/2024,$173.67,49249390,$169.68,$173.92,$166.32
04/24/2024,$176.59,34185110,$179.94,$180.323,$176.18
04/23/2024,$179.54,37046520,$178.08,$179.93,$175.975
04/22/2024,$177.23,37924890,$176.94,$178.87,$174.56
04/19/2024,$174.63,56000730,$178.74,$179.00,$173.44
04/18/2024,$179.22,30723790,$181.47,$182.39,$178.65
04/17/2024,$181.28,31359670,$184.31,$184.57,$179.82
04/16/2024,$183.32,32891270,$183.27,$184.83,$182.26
04/15/2024,$183.62,48052400,$187.425,$188.69,$183.00
04/12/2024,$186.13,38608850,$187.72,$188.38,$185.08
04/11/2024,$189.05,40020740,$186.74,$189.77,$185.51
04/10/2024,$185.95,35879150,$182.765,$186.2699,$182.67
04/09/2024,$185.67,36546950,$187.24,$187.34,$184.20
04/08/2024,$185.19,39221280,$186.90,$187.29,$184.81
04/05/2024,$185.07,42373990,$182.38,$186.27,$181.97
04/04/2024,$180.00,41624260,$184.00,$185.10,$180.00
04/03/2024,$182.41,31046640,$179.90,$182.87,$179.80
04/02/2024,$180.69,32611550,$179.07,$180.79,$178.3762
04/01/2024,$180.97,29174520,$180.79,$183.00,$179.95
03/28/2024,$180.38,38051590,$180.17,$181.70,$179.26
03/27/2024,$179.83,33272550,$179.88,$180.00,$177.3099
03/26/2024,$178.30,29658980,$180.15,$180.45,$177.95
03/25/2024,$179.71,29815460,$178.01,$180.99,$177.24
03/22/2024,$178.87,27995380,$177.752,$179.255,$176.75
03/21/2024,$178.15,32824320,$179.988,$181.415,$178.15
03/20/2024,$178.15,29947150,$176.14,$178.53,$174.64
03/19/2024,$175.90,26880890,$174.215,$176.09,$173.52
03/18/2024,$174.48,31250690,$175.80,$176.69,$174.28
03/15/2024,$174.42,72147390,$176.64,$177.93,$173.90
03/14/2024,$178.75,43705840,$177.69,$179.53,$176.465
03/13/2024,$176.555,30772600,$175.90,$177.62,$175.55
03/12/2024,$175.39,36610600,$173.50,$176.76,$171.98
03/11/2024,$171.96,28484780,$174.31,$174.47,$171.47
03/08/2024,$175.35,37893240,$176.44,$178.785,$174.33
03/07/2024,$176.82,34063280,$174.83,$177.99,$173.72
03/06/2024,$173.51,32090930,$175.54,$176.46,$173.26
03/05/2024,$174.12,37228340,$176.93,$176.93,$173.303
03/04/2024,$177.58,37381520,$177.53,$180.14,$177.49
03/01/2024,$178.22,31981150,$176.75,$178.725,$176.07
02/29/2024,$176.76,53805360,$173.01,$177.22,$172.85
02/28/2024,$173.16,28180480,$172.44,$174.05,$172.27
02/27/2024,$173.54,31141730,$174.075,$174.62,$172.86
02/26/2024,$174.73,44368610,$175.70,$176.37,$174.26
02/23/2024,$174.99,59715240,$174.28,$175.75,$173.70
02/22/2024,$174.58,55392350,$173.10,$174.80,$171.77
02/21/2024,$168.59,44575620,$168.94,$170.23,$167.14
02/20/2024,$167.08,41980330,$167.83,$168.71,$165.74
02/16/2024,$169.51,48107740,$168.74,$170.42,$167.17
02/15/2024,$169.80,49855200,$170.58,$171.17,$167.59
02/14/2024,$170.98,42815540,$169.21,$171.21,$168.28
02/13/2024,$168.64,56345120,$167.73,$170.95,$165.75
02/12/2024,$172.34,51050440,$174.80,$175.39,$171.54
02/09/2024,$174.45,56985990,$170.90,$175.00,$170.5803
02/08/2024,$169.84,42316450,$169.65,$171.43,$168.88
02/07/2024,$170.53,47174060,$169.48,$170.88,$168.94
02/06/2024,$169.15,42505520,$169.39,$170.71,$167.65
02/05/2024,$170.31,55081300,$170.20,$170.55,$167.70
02/02/2024,$171.81,117218300,$169.19,$172.50,$167.33
02/01/2024,$159.28,76542420,$155.87,$159.76,$155.62
01/31/2024,$155.20,50284370,$157.00,$159.01,$154.81
01/30/2024,$159.00,45207430,$160.70,$161.73,$158.49
01/29/2024,$161.26,45270390,$159.34,$161.29,$158.90
01/26/2024,$159.12,51047350,$158.42,$160.72,$157.91
01/25/2024,$157.75,43638590,$156.95,$158.505,$154.5501
01/24/2024,$156.87,48547320,$157.80,$158.51,$156.48
01/23/2024,$156.02,37986040,$154.85,$156.21,$153.93
01/22/2024,$154.78,43687470,$156.89,$157.05,$153.90
01/19/2024,$155.34,51651630,$153.83,$155.76,$152.74
01/18/2024,$153.50,37850250,$152.77,$153.775,$151.82
01/17/2024,$151.71,34953360,$151.49,$152.15,$149.91
01/16/2024,$153.16,41384640,$153.53,$154.99,$152.15
01/12/2024,$154.62,40484160,$155.39,$156.20,$154.01
01/11/2024,$155.18,49072690,$155.04,$157.17,$153.12
01/10/2024,$153.73,44421830,$152.06,$154.42,$151.881
01/09/2024,$151.37,43812570,$148.33,$151.71,$148.21
01/08/2024,$149.10,46757050,$146.74,$149.40,$146.15
01/05/2024,$145.24,45153150,$144.69,$146.59,$144.53
01/04/2024,$144.57,56039810,$145.59,$147.38,$144.05
01/03/2024,$148.47,49425500,$149.20,$151.05,$148.33
01/02/2024,$149.93,47339420,$151.54,$152.38,$148.39
12/29/2023,$151.94,39823200,$153.10,$153.89,$151.03
12/28/2023,$153.38,27057000,$153.72,$154.08,$152.95
12/27/2023,$153.34,31434730,$153.56,$154.78,$153.12
12/26/2023,$153.41,25067220,$153.56,$153.975,$153.03
12/22/2023,$153.42,29514090,$153.77,$154.35,$152.71
12/21/2023,$153.84,36305730,$153.30,$153.97,$152.10
12/20/2023,$152.12,50322110,$152.90,$155.63,$151.56
12/19/2023,$153.79,43171290,$154.40,$155.12,$152.69
12/18/2023,$154.07,62512830,$150.56,$154.855,$150.05
12/15/2023,$149.97,110089300,$148.38,$150.57,$147.88
12/14/2023,$147.42,58400850,$149.93,$150.54,$145.52
12/13/2023,$148.84,52766200,$148.12,$149.46,$146.82
12/12/2023,$147.48,44944260,$145.52,$147.50,$145.30
12/11/2023,$145.89,50907290,$145.66,$146.19,$143.64
12/08/2023,$147.42,41905970,$145.48,$147.84,$145.40
12/07/2023,$146.88,52352830,$146.15,$147.92,$145.34
12/06/2023,$144.52,39678960,$147.58,$147.85,$144.28
12/05/2023,$146.88,46822410,$143.55,$148.57,$143.13
12/04/2023,$144.84,48294240,$145.25,$145.35,$142.81
12/01/2023,$147.03,39951830,$146.00,$147.245,$145.55
11/30/2023,$146.09,65814020,$144.76,$146.93,$144.332
11/29/2023,$146.32,40610910,$147.85,$148.54,$145.97
11/28/2023,$147.03,42711680,$146.98,$147.5999,$145.53
11/27/2023,$147.73,53762430,$147.53,$149.26,$146.88
11/24/2023,$146.74,22378380,$146.70,$147.20,$145.32
11/22/2023,$146.71,45700000,$144.57,$147.74,$144.57
11/21/2023,$143.90,71225990,$143.91,$144.05,$141.50
11/20/2023,$146.13,41978770,$145.13,$146.63,$144.725
11/17/2023,$145.18,49678440,$142.66,$145.23,$142.545
11/16/2023,$142.83,49653510,$140.91,$143.32,$139.52
11/15/2023,$143.20,63875720,$147.06,$147.29,$142.59
11/14/2023,$145.80,56674550,$145.00,$147.26,$144.68
11/13/2023,$142.59,35680570,$142.08,$143.23,$140.67
11/10/2023,$143.56,49349940,$140.46,$143.65,$139.91
11/09/2023,$140.60,36235370,$142.02,$142.65,$139.84
11/08/2023,$142.08,44521660,$142.97,$143.12,$141.2183
11/07/2023,$142.71,53553540,$140.55,$143.37,$140.50
11/06/2023,$139.74,44970420,$138.76,$140.73,$138.36
11/03/2023,$138.60,44059810,$138.99,$139.49,$137.45
11/02/2023,$138.07,52236690,$138.73,$138.81,$136.47
11/01/2023,$137.00,61529410,$133.96,$137.35,$133.71
10/31/2023,$133.09,51589380,$132.75,$133.57,$131.71
10/30/2023,$132.71,72485540,$129.72,$133.00,$128.56
10/27/2023,$127.74,125309300,$126.20,$130.02,$125.52
10/26/2023,$119.57,100419500,$120.63,$121.6393,$118.35
10/25/2023,$121.39,74577540,$126.04,$126.34,$120.79
10/24/2023,$128.56,46477360,$127.74,$128.80,$126.34
10/23/2023,$126.56,48259950,$124.63,$127.88,$123.98
10/20/2023,$125.17,56406410,$128.05,$128.17,$124.97
10/19/2023,$128.40,60961360,$130.565,$132.24,$127.47
10/18/2023,$128.13,42699480,$129.90,$130.6699,$127.51
10/17/2023,$131.47,49344550,$130.39,$132.58,$128.71
10/16/2023,$132.55,42832920,$130.69,$133.07,$130.425
10/13/2023,$129.79,45824690,$132.98,$133.3145,$128.95
10/12/2023,$132.33,55528580,$132.17,$134.48,$131.23
10/11/2023,$131.83,40741840,$129.74,$132.05,$129.61
10/10/2023,$129.48,42178620,$128.82,$130.74,$128.05
10/09/2023,$128.26,38773740,$126.22,$128.79,$124.76
10/06/2023,$127.96,46836700,$124.16,$128.45,$124.13
10/05/2023,$125.96,39660640,$126.71,$126.73,$124.33
10/04/2023,$127.00,44203870,$126.06,$127.36,$125.68
10/03/2023,$124.72,51564990,$128.06,$128.52,$124.2544
10/02/2023,$129.46,48029740,$127.28,$130.47,$126.54
09/29/2023,$127.12,62411730,$128.20,$129.15,$126.32
09/28/2023,$125.98,54554970,$124.04,$126.5801,$123.04
09/27/2023,$125.98,66553450,$125.76,$127.48,$124.13
09/26/2023,$125.98,73048210,$130.12,$130.39,$125.28
09/25/2023,$131.27,46017830,$129.36,$131.78,$128.77
09/22/2023,$129.12,59904350,$131.11,$132.03,$128.52
09/21/2023,$129.33,70343340,$131.94,$132.24,$129.31
09/20/2023,$135.29,46263720,$138.55,$139.37,$135.20
09/19/2023,$137.63,61482470,$138.70,$138.84,$135.56
09/18/2023,$139.98,42823480,$140.48,$141.75,$139.22
09/15/2023,$140.39,102909300,$142.69,$143.57,$140.09
09/14/2023,$144.72,64033610,$145.08,$145.86,$142.95
09/13/2023,$144.85,60465180,$140.95,$144.98,$140.865
09/12/2023,$141.23,42668450,$142.32,$143.00,$140.61
09/11/2023,$143.10,56764530,$138.75,$143.62,$138.64
09/08/2023,$138.23,38365930,$136.86,$138.8519,$136.75
09/07/2023,$137.85,48498910,$133.90,$138.03,$133.16
09/06/2023,$135.36,41785510,$136.32,$137.45,$134.61
09/05/2023,$137.27,40636740,$137.73,$137.80,$135.82
09/01/2023,$138.12,40991540,$139.455,$139.96,$136.875
08/31/2023,$138.01,58781310,$135.06,$138.7885,$135.00
08/30/2023,$135.07,36137020,$134.93,$135.68,$133.92
08/29/2023,$134.91,38646090,$133.38,$135.14,$133.25
08/28/2023,$133.14,34108410,$133.78,$133.95,$131.85
08/25/2023,$133.26,44147450,$132.47,$133.87,$130.58
08/24/2023,$131.84,43646250,$136.40,$136.775,$131.83
08/23/2023,$135.52,42801040,$134.50,$135.95,$133.22
08/22/2023,$134.25,32935100,$135.08,$135.65,$133.73
08/21/2023,$134.68,41442480,$133.74,$135.185,$132.71
08/18/2023,$133.22,48497700,$131.62,$134.065,$131.15
08/17/2023,$133.98,48354090,$135.46,$136.085,$133.53
08/16/2023,$135.07,41675900,$137.19,$137.27,$135.01
08/15/2023,$137.67,42781520,$140.05,$141.2778,$137.23
08/14/2023,$140.57,47148700,$138.30,$140.59,$137.75
08/11/2023,$138.41,42905830,$137.40,$139.33,$137.00
08/10/2023,$138.56,58928400,$139.075,$140.41,$137.49
08/09/2023,$137.85,50017350,$139.97,$140.32,$137.10
08/08/2023,$139.94,51710500,$140.62,$140.84,$138.42
08/07/2023,$142.22,71213110,$140.99,$142.54,$138.95
08/04/2023,$139.57,153128500,$141.06,$143.63,$139.32
08/03/2023,$128.91,91163740,$127.48,$129.84,$126.41
08/02/2023,$128.21,51027610,$130.154,$130.23,$126.82
08/01/2023,$131.69,42298930,$133.55,$133.69,$131.6199
07/31/2023,$133.68,41901520,$133.20,$133.87,$132.38
07/28/2023,$132.21,46317380,$129.69,$133.01,$129.33
07/27/2023,$128.25,52610660,$131.00,$132.63,$127.79
07/26/2023,$128.15,53910090,$126.51,$129.08,$126.11
07/25/2023,$129.13,39236660,$129.31,$129.58,$128.53
07/24/2023,$128.80,45671540,$130.305,$131.66,$128.35
07/21/2023,$130.00,133307300,$131.34,$131.37,$128.415
07/20/2023,$129.96,59820580,$134.07,$134.7915,$129.33
07/19/2023,$135.36,54531040,$133.39,$135.99,$132.53
07/18/2023,$132.83,54969130,$132.71,$133.86,$131.355
07/17/2023,$133.56,48450200,$134.56,$135.62,$133.21
07/14/2023,$134.68,54487090,$134.06,$136.65,$134.06
07/13/2023,$134.30,61170880,$134.04,$134.67,$132.71
07/12/2023,$130.80,54022850,$130.31,$131.26,$128.83
07/11/2023,$128.78,49951460,$127.75,$129.77,$127.35
07/10/2023,$127.13,61889290,$129.07,$129.28,$125.915
07/07/2023,$129.78,41992250,$128.59,$130.97,$128.1294
07/06/2023,$128.36,40697850,$128.25,$128.73,$127.37
07/05/2023,$130.38,35895410,$130.24,$131.40,$129.64
07/03/2023,$130.22,27939570,$130.82,$131.85,$130.065
06/30/2023,$130.36,54350680,$129.47,$131.245,$128.95
06/29/2023,$127.90,40760960,$128.77,$129.26,$127.255
06/28/2023,$129.04,52149510,$128.94,$131.48,$128.44
06/27/2023,$129.18,46801010,$128.63,$130.085,$127.55
06/26/2023,$127.33,59989320,$129.33,$131.49,$127.10
06/23/2023,$129.33,71927780,$129.11,$130.84,$128.28
06/22/2023,$130.15,90354570,$125.31,$130.33,$125.14
06/21/2023,$124.83,52137670,$125.64,$126.73,$123.85
06/20/2023,$125.78,56930120,$124.97,$127.25,$124.50
06/16/2023,$125.49,84247100,$127.71,$127.90,$125.30
06/15/2023,$127.11,60458470,$125.21,$127.69,$124.32
06/14/2023,$126.42,52422460,$126.70,$126.95,$124.12
06/13/2023,$126.66,50564790,$128.12,$128.41,$125.18
06/12/2023,$126.57,51473380,$124.02,$126.78,$123.53
06/09/2023,$123.43,51396020,$124.08,$125.80,$123.19
06/08/2023,$124.25,62159270,$123.01,$125.625,$122.2579
06/07/2023,$121.23,95663280,$127.01,$127.365,$120.63
06/06/2023,$126.61,45695210,$125.07,$127.40,$125.00
06/05/2023,$125.30,47950130,$123.36,$125.80,$123.03
06/02/2023,$124.25,61264410,$124.92,$126.39,$124.015
06/01/2023,$122.77,54375130,$120.69,$123.49,$119.93
05/31/2023,$120.58,72800790,$121.45,$122.04,$119.17
05/30/2023,$121.66,64314810,$122.37,$122.92,$119.855
05/26/2023,$120.11,96779890,$116.04,$121.50,$116.02
05/25/2023,$115.00,66496680,$116.63,$116.87,$114.31
05/24/2023,$116.75,63487940,$115.35,$117.34,$115.02
