Date,Close/Last,Volume,Open,High,Low
05/23/2024,$123.11,3498259,$127.75,$128.00,$122.595
05/22/2024,$126.68,2617488,$128.00,$128.37,$125.65
05/21/2024,$127.71,2960627,$125.75,$128.04,$125.02
05/20/2024,$125.67,3081902,$125.01,$126.12,$124.6207
05/17/2024,$125.67,3954095,$128.60,$128.62,$124.53
05/16/2024,$127.88,4167688,$130.50,$130.84,$127.77
05/15/2024,$131.31,4480168,$127.34,$131.34,$126.53
05/14/2024,$125.97,2828946,$122.69,$126.14,$122.69
05/13/2024,$122.13,1826243,$124.83,$124.83,$122.04
05/10/2024,$124.04,2517809,$124.33,$124.33,$120.00
05/09/2024,$123.03,5938714,$119.56,$123.48,$118.81
05/08/2024,$119.80,2919621,$120.15,$120.50,$118.69
05/07/2024,$121.50,3233861,$121.00,$123.09,$120.36
05/06/2024,$121.21,3421854,$119.19,$121.725,$118.67
05/03/2024,$117.99,4437459,$121.50,$123.11,$117.75
05/02/2024,$118.99,3653229,$118.63,$119.89,$116.39
05/01/2024,$117.49,4142689,$116.54,$120.55,$115.82
04/30/2024,$116.61,4329191,$119.12,$120.11,$116.48
04/29/2024,$120.62,2294562,$123.05,$123.86,$120.12
04/26/2024,$122.49,2962718,$122.91,$123.39,$122.01
04/25/2024,$123.36,3620701,$121.92,$123.71,$119.37
04/24/2024,$123.78,2021499,$123.95,$124.81,$122.56
04/23/2024,$124.31,3379225,$122.60,$125.62,$122.3201
04/22/2024,$122.09,3290887,$119.55,$123.00,$117.76
04/19/2024,$118.40,4161306,$120.15,$121.79,$118.06
04/18/2024,$120.32,5701873,$121.13,$123.45,$119.06
04/17/2024,$123.19,5150855,$123.28,$124.61,$121.94
04/16/2024,$121.88,3540130,$120.63,$122.86,$119.69
04/15/2024,$121.17,3350804,$124.82,$125.50,$119.94
04/12/2024,$123.47,4002864,$125.70,$125.99,$122.67
04/11/2024,$126.87,3429060,$126.50,$128.19,$124.63
04/10/2024,$126.08,3339913,$128.06,$128.57,$125.71
04/09/2024,$132.00,3258597,$130.00,$132.09,$128.50
04/08/2024,$129.32,2422518,$127.49,$129.93,$126.83
04/05/2024,$127.58,1906734,$126.00,$128.40,$125.36
04/04/2024,$126.01,2445082,$128.00,$129.15,$125.655
04/03/2024,$126.57,2101897,$125.63,$127.33,$125.355
04/02/2024,$126.31,3621107,$128.05,$128.13,$124.67
04/01/2024,$131.03,2478183,$131.80,$132.00,$130.85
03/28/2024,$131.37,3132574,$131.01,$131.75,$130.42
03/27/2024,$130.89,2146430,$129.51,$130.98,$128.92
03/26/2024,$127.88,1993014,$129.75,$130.00,$127.64
03/25/2024,$128.84,1792585,$128.00,$129.285,$127.91
03/22/2024,$127.86,2072698,$131.05,$131.30,$127.79
03/21/2024,$131.66,4003369,$128.90,$133.56,$128.71
03/20/2024,$127.76,3151184,$123.71,$128.48,$123.37
03/19/2024,$123.98,3459249,$122.66,$124.12,$121.50
03/18/2024,$123.43,3163211,$125.84,$126.68,$123.16
03/15/2024,$124.97,22840290,$123.17,$125.29,$123.17
03/14/2024,$124.80,5851200,$126.00,$127.29,$123.22
03/13/2024,$126.10,3584321,$124.00,$126.41,$123.47
03/12/2024,$123.68,2888547,$124.87,$125.49,$123.05
03/11/2024,$124.57,2958889,$126.20,$126.20,$124.04
03/08/2024,$125.99,3151451,$125.33,$127.725,$125.33
03/07/2024,$124.80,2914028,$125.00,$125.51,$123.30
03/06/2024,$123.30,3355620,$126.65,$127.45,$122.19
03/05/2024,$124.82,3856318,$126.27,$126.70,$124.12
03/04/2024,$126.60,5822481,$125.68,$127.81,$124.07
03/01/2024,$128.09,3673581,$127.82,$129.24,$126.47
02/29/2024,$127.82,3861503,$127.61,$128.37,$126.21
02/28/2024,$126.32,1986669,$126.17,$127.27,$125.62
02/27/2024,$126.75,2968521,$126.12,$126.92,$125.50
02/26/2024,$125.28,2623834,$125.12,$126.43,$124.84
02/23/2024,$125.11,3380434,$127.96,$128.3655,$124.75
02/22/2024,$127.29,3162610,$128.31,$129.5954,$126.75
02/21/2024,$126.19,2454619,$125.91,$126.37,$125.10
02/20/2024,$126.33,2982344,$126.72,$127.11,$125.60
02/16/2024,$127.89,3578366,$128.89,$129.755,$127.78
02/15/2024,$130.25,3542437,$129.47,$130.73,$128.92
02/14/2024,$127.95,3302826,$126.62,$128.30,$125.96
02/13/2024,$124.95,6448092,$126.19,$126.335,$122.02
02/12/2024,$130.08,3981911,$127.32,$131.29,$127.10
02/09/2024,$127.68,3181604,$128.10,$128.65,$125.99
02/08/2024,$127.84,3435957,$125.75,$128.54,$125.00
02/07/2024,$126.09,2731518,$124.47,$126.58,$123.87
02/06/2024,$123.56,3067089,$121.64,$123.66,$121.10
02/05/2024,$121.25,3604852,$123.00,$123.24,$119.93
02/02/2024,$124.36,3320436,$122.27,$124.925,$120.56
02/01/2024,$124.30,5190167,$125.03,$125.80,$121.2505
01/31/2024,$124.45,3154725,$125.95,$127.29,$124.33
